Título_Título,Lançamento_Lançamento,Obs._Obs.
Adventures of Lolo,12/Dez/2018,
Balloon Fight,19/Set/2018,
Baseball,19/Set/2018,
Blaster Master,16/Jan/2019,
Blaster Master,13/Fev/2019,Versão Especial
City Connection,12/Jun/2019,
Clu Clu Land,15/Mai/2019,
Crystalis,15/Dez/2019,
Donkey Kong,19/Set/2018,
Donkey Kong 3,17/Jul/2019,
Donkey Kong Jr.,15/Mai/2019,
Double Dragon,19/Set/2018,
Double Dragon II: The Revenge,12/Jun/2019,
Dr. Mario,19/Set/2018,
Dr. Mario,12/Dez/2018,Versão Especial
Eliminator Boat Duel,19/Fev/2020,
Fire ‘n Ice,17/Fev/2021,
Ghosts 'n Goblins,19/Set/2018,
Ghosts'n Goblins,16/Jan/2019,Versão Especial
Gradius,19/Set/2018,
Gradius,14/Nov/2018,Versão Especial 1
Gradius,21/Ago/2019,Versão Especial 2
Ice Climber,19/Set/2018,
Ice Hockey,19/Set/2018,
Journey to Silius,15/Dez/2019,
Kid Icarus,13/Mar/2019,
Kid Icarus,10/Abr/2019,Versão Especial
Kirby's Adventure,13/Fev/2019,
Kirby's Adventure,13/Mar/2019,Versão Especial
Kung-Fu Heroes,21/Ago/2019,
Mario Bros.,19/Set/2018,
Metroid,14/Nov/2018,
Metroid,12/Dez/2018,Versão Especial 1
Metroid,13/Fev/2019,Versão Especial 2
Mighty Bomb Jack,14/Nov/2018,
Mighty Bomb Jack,17/Jul/2019,Versão Especial
NES Open Tournament Golf,10/Out/2018,
Nightshade,18/Dez/2020,
Ninja Gaiden,12/Dez/2018,
Ninja Gaiden,16/Jan/2019,Versão Especial
Pro Wrestling,19/Set/2018,
Punch-Out!!,10/Abr/2019,
River City Ransom,19/Set/2018,
Rygar,20/Mai/2020,
S.C.A.T.: Special Cybernetic Attack Team,23/Set/2020,
Shadows of the Ninja,19/Fev/2020,
Soccer,19/Set/2018,
Solomon's Key,10/Out/2018,
Star Soldier,10/Abr/2019,
Star Soldier,15/Mai/2019,Versão Especial
StarTropics,13/Mar/2019,
Super Dodge Ball,10/Out/2018,
Super Mario Bros.,19/Set/2018,
Super Mario Bros. 2,13/Fev/2019,
Super Mario Bros. 3,19/Set/2018,
Super Mario Bros.: The Lost Levels,10/Abr/2019,
Tecmo Bowl,19/Set/2018,
Tennis,19/Set/2018,
The Immortal,15/Jul/2020,
The Legend of Zelda,19/Set/2018,
The Legend of Zelda,10/Out/2018,Versão Especial
TwinBee,14/Nov/2018,
TwinBee,12/Jun/2019,Versão Especial
Vice: Project Doom,21/Ago/2019,
Volleyball,12/Jun/2019,
Vs. Excitebike,15/Mai/2019,
Wario's Woods,12/Dez/2018,
Wrecking Crew,17/Jul/2019,
Yoshi,19/Set/2018,
Zelda II: The Adventure of Link,16/Jan/2019,
Zelda II: The Adventure of Link,13/Mar/2019,Versão Especial
