Aplicativo_Aplicativo,Desenvolvedor\Editora_Desenvolvedor\Editora,Categoria_Categoria,Tam._Tam.,Lançamento_Lançamento,Ref._Ref.
Astrology and Horoscopes Premium,Crazysoft,Estilo de Vida,93 MB,14/Fev/2018,[3520]
Crunchyroll,Crunchyroll,Reprodutor de Vídeo,110 MB,17/Fev/2022,[3521]
Funimation,Funimation Global Group,Reprodutor de Vídeo,17 MB,15/Dez/2020,[3522]
FUZE⁴,FUZE Technologies,Editor de Progamação,3.7 GB,30/Ago/2019,[3523]
Hulu,Hulu,Reprodutor de Vídeo,88 MB,09/Nov/2017,[3524]
InkyPen,InkyPen AS / Rain Games AS,Leitor de Quadrinhos,176 MB,17/Dez/2018,[3525]
Izneo,Izneo,Leitor de Quadrinhos,109 MB,28/Fev/2019,[3526]
KORG Gadget for Nintendo Switch,Detune Ltd. / Korg Inc.,Produtor Musical,641 MB,26/Abr/2019,[3527]
Nintendo 64,Nintendo,Emulador de Jogos,318 MB,25/Out/2021,[3528]
Nintendo Entertainment System,Nintendo,Emulador de Jogos,105 MB,18/Set/2018,[3529]
Notes,Game Nacional,Utilitario,47 MB,18/Jun/2021,[3530]
Palm Reading Premium,Crazysoft,Estilo de Vida,63 MB,14/Nov/2018,[3531]
Personality and Psychology Premium,Crazysoft,Estilo de Vida,171 MB,18/Out/2018,[3532]
Pokémon Home,Game Freak / Nintendo,Serviço de Armazenamento,707 MB,11/Fev/2020,[3533]
Pokémon TV,The Pokémon Company International,Reprodutor de Vídeo,108 MB,26/Ago/2021,[3534]
SEGA Genesis,--,Emulador de Jogos,--,25/Out/2021,[3535]
Super Nintendo Entertainment System,Nintendo,Emulador de Jogos,119 MB,05/Set/2019,[3536]
Tarot Readings Premium,Crazysoft,Estilo de Vida,158 MB,18/Jul/2019,[3537]
Twitch,Twitch Interactive,Reprodutor de Vídeo,31 MB,11/Nov/2021,[3538]
YouTube,Google,Reprodutor de Vídeo,135 MB,08/Nov/2018,[3539]
