Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
#BreakforcistBattle,Lucid Sheep Games,Lucid Sheep Games,12/Abr/2018,,[3]
#KillAllZombies,,Beatshapers,24/Jan/2019,,[4]
#RaceDieRun,,QubicGames,09/Ago/2019,,[5]
'n Verlore Verstand,Skobbejak Games (PTY.) LTD.,Skobbejak Games,07/Dez/2018,,[6]
1-2-Switch,Nintendo EPD,Nintendo,03/Mar/2017,BR,[7]
10 Second Run Returns,Blue Print,Blue Print,25/Jan/2018,,[8]
1001 Ultimate Mahjong 2,Nawia Games,Nawia Games,25/Out/2018,,[9]
12 is Better Than 6,Ink Stains Games,Hypetrain Digital,05/Mar/2019,,[10]
12 Labours of Hercules,JetDogs / Zoom Out Games,JetDogs,24/Mar/2019,,[11]
12 Orbits,Roman Uhlig,Roman Uhlig,27/Abr/2018,,[12]
1917 - The Alien Invasion DX,Andrade Games,Korion,14/Jun/2018,,[13]
1979 Revolution: Black Friday,Ink Stories,Digerati,02/Ago/2018,,[14]
2064: Read Only Memories Integral,MidBoss,MidBoss,14/Ago/2018,,[15]
20XX,Batterystaple Games,Batterystaple Games,10/Jul/2018,,[16]
3 Little Pigs & Bad Wolf,,MAKING,10/Jul/2019,,[17]
30-in-1 Game Collection,Digital Bards,Digital Bards,30/Mai/2019,,[18]
36 Fragments of Midnight,Ratalaika Games / Petite Games,Ratalaika Games,14/Set/2017,,[19]
39 Days to Mars,Its Anecdotal,Its Anecdotal,16/Mai/2019,,[20]
3D Billiards - Pool & Snooker,Joindots,Joindots,29/Nov/2018,,[21]
3D MiniGolf,Joindots,Joindots,01/Fev/2018,,[22]
60 Seconds!,Robot Gentleman,Robot Gentleman,18/Dez/2017,,[23]
6180 The Moon,Turtle Cream / PokPoong Games,Turtle Cream,24/Mai/2018,,[24]
7 Billion Humans,Tomorrow Corporation,Tomorrow Corporation,25/Out/2018,,[25]
88 Heroes - 98 Heroes Edition,Bitmap Bureau,Rising Star Games,12/Out/2017,,[26]
911 Operator,Jutsu Games,Sonka,26/Out/2018,,[27]
99Moves,EnjoyUp Games,EnjoyUp Games,08/Fev/2019,,[28]
99Seconds,EnjoyUp Games,EnjoyUp Games,04/Jan/2019,,[29]
99Vidas - Definitive Edition,QUByte Interactive,QUByte Interactive,27/Nov/2018,,[30]
A Case of Distrust,,Serenity Forge,20/Set/2018,,[31]
A Ch'ti Bundle,Seaven Studio,Seaven Studio,10/Jan/2019,,[32]
A Dark Room,Amirali Rajan,Circle Ent.,12/Abr/2019,,[33]
A Duel Hand Disaster: Trackher,AskAnEnemyStudios,AskAnEnemyStudios,10/Jun/2019,,[34]
A Gummy's Life,EP Games,EP Games,25/Set/2018,,[35]
A Hole New World,Mad Gear Games,Dolores Entertainment S.L.,01/Mar/2018,,[36]
A Magical High School Girl,illuCallab,Sekai Games,07/Jun/2018,,[37]
A Normal Lost Phone,Seaven Studio,Plug In Digital,01/Mar/2018,,[38]
A Robot Named Fight,Matt Bitner Games,Hitcents,26/Abr/2018,,[39]
Aaero: Complete Edition,,S2 Entertainment,24/Dez/2018,,[40]
Abyss,EnjoyUp Games,EnjoyUp Games,25/Dez/2018,,[41]
ABZÛ,,505 Games,29/Nov/2018,,[42]
Access Denied,Stately Snail,Ratalaika Games,08/Fev/2019,,[43]
Ace of Seafood,Nussoft,Onuki Masafumi,22/Fev/2018,,[44]
Aces of the Luftwaffe - Squadron,Handy Games,Handy Games,17/Nov/2017,,[45]
Achtung! Cthulhu Tactics,Auroch Digital,Ripstone,24/Jan/2019,,[46]
ACORN Tactics,TACS Games,TACS Games,07/Dez/2017,,[47]
Active Soccer 2019,The Fox Software,Gianluca Troiano,19/Abr/2019,,[48]
Adrenaline Rush - Miami Drive,,Cool Small Games,12/Jul/2019,,[49]
Adventure Time: Pirates of the Enchiridion,Climax Studios,Outright Games,17/Jun/2018,,[50]
"Adventures of Bertram Fiddle Episode 1: A Dreadly Business, The",Rumpus Animation,Chorus Worldwide Games,29/Mar/2018,,[51]
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,Rumpus Animation,Chorus Worldwide Games,22/Nov/2018,,[52]
Aegis Defenders,GUTS Department,Humble Bundle,08/Fev/2018,,[53]
AER Memories of Old,Daedalic Entertainment,Daedalic GmbH,28/Ago/2019,,[54]
AeternoBlade,Corecell Technology,Corecell Technology,01/Fev/2018,,[55]
Agartha-S,,mebius.,31/Jan/2019,,[56]
Agatha Knife,Mango Protocol,Mango Protocol,26/Abr/2018,,[57]
Agent A: A Puzzle in Disguise,YAK,YAK,29/Ago/2019,,[58]
Ages of Mages: The Last Keeper,YFC games,YFC games,30/Mai/2019,,[59]
Air Conflicts: Pacific Carriers,Games Farm s.r.o.,KalypsoMediaGroup,26/Mar/2019,,[60]
Air Conflicts: Secret Wars,Games Farm s.r.o.,KalypsoMediaGroup,26/Mar/2019,,[61]
Air Hockey,Sabec,Sabec,28/Fev/2018,,[62]
Air Mail,N-Fusion Interactive,N-Fusion,26/Jun/2018,,[63]
Airfield Mania,,Sprakelsoft,27/Mar/2019,,[64]
Airheart - Tales of broken Wings,Blindflug Studios,Blindflug Studios,31/Jan/2019,,[65]
Akane,Ludic Studios,QubicGames,17/Mai/2019,,[66]
Akihabara - Feel the Rhythm Remixed,JMJ Interactive,JMJ Interactive,29/Nov/2018,,[67]
Akihabara Crash! 123STAGE+1,,Dorasu,24/Jan/2019,,[68]
Alchemic Dungeons DX,Q-Cumber Factory,Flyhigh Works,14/Fev/2019,,[69]
Alchemic Jousts,Lunatic Pixels,Lunatic Pixels,12/Jun/2018,,[70]
Alien Cruise,Cotton Game,Orenda,14/Mar/2019,,[71]
Alien Escape,NoFuel Games,KORION,12/Jul/2019,,[72]
All-Star Fruit Racing,3DClouds.it,PQube,21/Ago/2018,,[73]
Almightree: The Last Dreamer,Godspeed Games / Chocoarts,West Coast Software,13/Dez/2018,,[74]
Almost There: The Platformer,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,21/Fev/2019,,[75]
Alpha,Kaname,Kaname,19/Abr/2019,,[76]
Alteric,Sometimes You,Sometimes You,30/Mar/2018,,[77]
Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,Neilo,Arc System Works,23/Mai/2019,,[78]
Alvastia Chronicles,Exe Create Inc.,Kemco,14/Fev/2019,,[79]
Alwa's Awakening,Elden Pixels,Elden Pixels,27/Set/2018,,[80]
Ambition of the Slimes,Altairworks,Flyhigh Works,18/Jan/2018,,[81]
American Fugitive,Fallen Tree Games,Curve Digital,23/Mai/2019,,[82]
American Ninja Warrior: Challenge,Gaming Corps,GameMill Entertainment,19/Mar/2019,,[83]
Among the Sleep - Enhanced Edition,Krillbite Studio,Soedesco,29/Mai/2019,,[84]
Anarcute,Anarteam,Plug In Digital,30/Mai/2019,,[85]
Ancient Rush 2,Heideland GameWorks Inh.,Heideland GameWorks,01/Fev/2019,,[84]
Angels of Death,Makoto Sanada,Active Gaming Media,27/Jun/2018,,[86]
AngerForce: Reloaded for Nintendo Switch,,indienova,02/Abr/2019,,[87]
Anggelos,LookAtMyGame,Pqube,25/Abr/2019,,[88]
Anima: Gate of Memories,,BLG Publishing,29/Jun/2018,,[89]
