Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil,Referências
Blacklight: Retribution,Zombie Studios,Zombie Studios,Console,2013.0,2014.0,2013,,[193]
Brawlhalla,Blue Mammoth Games,Blue Mammoth Games,Não,2017.0,2017.0,2017,2017,
DC Universe Online,Sony Computer Entertainment,Sony Computer Entertainment,Console,2013.0,2014.0,2013,,[285][286]
Destiny 2,Bungie,Activision,Não,2017.0,2017.0,2017,2017,
Doki-Doki Universe (Light Version),HumaNature Studios,HumaNature Studios,Console,2013.0,2014.0,2013,2013,[126]
EverQuest Next,Sony Online Entertainment,Sony Computer Entertainment,Console,2015.0,2015.0,2015,2015,[287]
Fall Guys,Mediatonic,Epic Games,Não,2020.0,2020.0,2020,2020,
Fallout Shelter,Bethesda Softworks,Bethesda Softworks,Não,2015.0,2015.0,2015,2015,
Fortnite,Epic Games,Epic Games,Não,2017.0,2017.0,2017,2017,
Genshin Impact,Hugh Tsai,MiHoYo,Não,2020.0,2020.0,2020,2020,
H1Z1,Sony Online Entertainment,Sony Computer Entertainment,Console,,,2014,2014,[288]
Loadout,Edge of Reality,,Console,,,2014,2014,[289]
MultiVersus,Player First Games,Warner Bros. Interactive Entertainment,Não,2022.0,2022.0,2022,2022,
Overwatch 2,Blizzard Entertainment,Blizzard Entertainment,Não,2022.0,2022.0,2022,2022,
PlanetSide 2,Sony Online Entertainment,Sony Computer Entertainment,Console,,,2014,2014,[290]
Rocket League,Psyonix,Epic Games,Não,2015.0,2015.0,2015,2015,
Tekken Revolution,Namco Bandai,Namco Bandai,Sim,2013.0,2013.0,2013,—,
The Sims 4,Maxis,Electronic Arts,Não,2014.0,2014.0,2014,2014,
Warframe,Digital Extremes,Digital Extremes,Não,2013.0,2014.0,2013,2013,[291][292]
Warface,Blackwood Games,MY.GAMES,Não,2013.0,2013.0,2013,2013,
War Thunder,Gaijin Entertainment,Gaijin Entertainment,Console,2013.0,2014.0,2014,2014,[286][293]
Zen Pinball 2,Zen Studios,Zen Studios,Não,2013.0,,2013,2013,[294]
