Título_Título,Desenvolvedor_Desenvolvedor,Lanç. Original_Lanç. Original,Lançamento_Lançamento,Tamanho Arquivo_Tamanho Arquivo,Ref._Ref.
10-Yard Fight,Irem,1983,02/Mai/2018,106 MB,[3232]
64th Street,Jaleco,1991,29/Out/2020,47 MB,[3233]
Alpha Mission,SNK,1985,25/Out/2018,94 MB,[3234]
Alpine Ski,Taito,1982,30/Mai/2019,72 MB,[3235]
Arabian,Sunsoft,1983,08/Out/2020,39 MB,[3236]
Argus,Jaleco,1986,30/Ago/2018,80 MB,[3237]
Armed F,Nichibutsu,1988,28/Mar/2019,81 MB,[3238]
Athena,SNK,1986,13/Dez/2018,78 MB,[3239]
Atomic Robo-Kid,UPL,1988,15/Nov/2018,78 MB,[3240]
Bells & Whistles,Konami,1991,16/Jan/2020,78 MB,[3241]
Ben Bero Beh,Taito,1984,01/Out/2020,39 MB,[3242]
Block Hole,Konami,1989,21/Jan/2021,39 MB,[3243]
Bomb Jack,Tecmo,1984,24/Jan/2019,75 MB,[3244]
Burger Time,Data East,1982,30/Jul/2020,67 MB,[3245]
Burnin' Rubber,Data East,1982,24/Set/2020,39 MB,[3246]
Buta san,Jaleco,1987,16/Mai/2019,73 MB,[3247]
Circus Charlie,Konami,1984,06/Ago/2020,79 MB,[3248]
City Connection,Jaleco,1985,19/Jul/2018,111 MB,[3249]
Clu Clu Land,Nintendo,1984,28/Jun/2019,68 MB,[3250]
Contra,Konami,1987,03/Set/2020,78 MB,[3251]
Cosmo Police Galivan,Nichibutsu,1985,14/Jan/2021,68 MB,[3252]
Crazy Climber,Nichibutsu,1980,08/Fev/2018,74 MB,[3253]
Crazy Climber 2,Nichibutsu,1988,28/Mai/2020,80 MB,[3254]
Cybattler,Jaleco,1993,18/Fev/2021,ND,[3255]
Donkey Kong,Nintendo,1981,14/Jun/2018,76 MB,[3256]
Donkey Kong Jr.,Nintendo,1982,21/Dez/2018,98 MB,[3257]
Donkey Kong 3,Nintendo,1983,05/Abr/2019,ND,[3258]
Double Dragon,Technōs Japan,1987,18/Jan/2018,77 MB,[3259]
Double Dragon II: The Revenge,Technōs Japan,1989,06/Dez/2018,70 MB,[3260]
Earth Defense Force,Jaleco,1991,17/Set/2020,42 MB,[3261]
Elevator Action,Taito,1983,14/Mar/2019,ND,[3262]
Excitebike,Nintendo,1984,21/Set/2018,78 MB,[3263]
Exerion,Jaleco,1983,09/Jan/2020,75 MB,[3264]
Formation Z,Jaleco,1984,19/Mar/2020,71 MB,[3265]
Frogger,Konami,1981,12/Dez/2019,71 MB,[3266]
Front Line,Taito,1980,14/Fev/2019,72 MB,[3267]
Gemini Wing,Tecmo,1987,10/Set/2020,44 MB,[3268]
Golf,Nintendo,1984,25/Out/2019,78 MB,[3269]
Gradius,Konami,1985,09/Jul/2020,74 MB,[3270]
Gradius II,Konami,1988,12/Nov/2020,84 MB,[3271]
Gradius III,Konami,1989,24/Dez/2020,115 MB,[3272]
Halley's Comet,Taito,1986,28/Jan/2021,39 MB,[3273]
Heroic Episode,Irem,1986,22/Fev/2018,76 MB,[3274]
Hyper Sports,Konami,1984,28/Nov/2019,94 MB,[3275]
Ice Climber,Nintendo,1984,21/Fev/2019,90 MB,[3276]
Ikari III - The Rescue,SNK,1989,26/Mar/2020,87 MB,[3277]
Ikari Warriors,SNK,1986,07/Mar/2019,79 MB,[3278]
Ikki,Sunsoft,1985,24/Mai/2018,67 MB,[3279]
Image Fight,Irem,1988,23/Mai/2019,ND,[3280]
In The Hunt,Irem,1993,21/Nov/2019,92 MB,[3281]
Kangaroo,Sun Electronics,1982,16/Jul/2020,68 MB,[3282]
Karate Champ,Data East,1984,03/Out/2019,73 MB,[3283]
Kid's Horehore Daisakusen,Nichibutsu,1987,09/Ago/2018,79 MB,[3284]
Kid Niki: Radical Ninja,Irem,1986,25/Jan/2018,69 MB,[3285]
Kiki Kaikai,Taito,1986,12/Mar/2020,73 MB,[3286]
